id,latent_0,latent_1,latent_2,latent_3,latent_4
5hNGxdPZJ4tLLkbIHHVYJp,-0.14477494,0.3747869,0.08152871,-0.026176374,0.027770765
6n1j8k7ApN8ZkjG2Yczyei,0.30055222,-1.0661336,-0.14218307,-0.52475053,1.5064524
3ScM8IvndjLcJ9VyAc4EnS,0.5764504,-0.17292258,-0.13834755,0.4341911,0.50863916
3U0oiHpXqrIS3AsOvkaS08,-1.5714824,0.64129543,-1.0402374,3.2493892,2.340218
2N1D0rf5uu3kYLxgEXWB8E,1.9748641,1.5833275,-0.7871556,-1.2291263,-0.7877226
0XVoi0Laai9IeAYu4rdLGs,-1.226239,0.16577205,-1.3965837,-1.1353157,-0.43504083
0ee8m2bFx5PgHiop3oaQSY,-1.2786847,-0.39677915,-1.1767814,-1.7544607,0.17154194
0ujyZVgw0rpdH1dWgIy2qt,0.122162476,-0.4945529,0.60608083,1.4518688,-1.210633
7Kcjtnzm5NM7abCLAwr8dE,-0.7566237,-0.6530708,-0.6948175,-0.25982437,-0.48522282
6v0OnoQPU4AnhJAQMAvLbe,-0.73826027,-0.5475118,0.3599228,-0.037516527,-1.8521084
1LxDdPfaptGhHEN1FNBChu,0.5154399,-0.023945777,-2.601166,0.5167533,0.98796433
0qetu9HC8KVCPgQz9lxOj9,-0.6907706,-0.40213606,0.40280056,0.87292504,-2.968527
39Fp08QFko8zyYjNbuhJJf,1.7653514,0.18642633,-0.69012445,0.011983987,-0.99731606
1tLP9KYxSAv1sGz9UQpGPf,0.4879319,1.0474067,-0.2579076,0.057449635,1.6140267
0wHRZwbNWH2TcSBIhyMT1i,-1.0599914,0.7637,-1.4957399,0.90037984,-0.8060422
0Aa8l5u2F86qQ6rfa06cM1,-0.28387514,1.7542403,0.1653956,0.44125646,-0.2689126
1D9QqNCGwgKJVVct8fcBpx,-0.5452728,-1.2423464,-2.030603,0.34775195,-1.7674663
2CZX6RHW9EYFhhTANVsF5A,-1.3075473,1.114829,0.12083143,-0.37663987,-0.7340208
7iQAwRV4iWorC0vceLR17T,1.2404547,0.8330223,2.604048,0.5191522,-1.4351206
3wtbl8uMml7VgxaDEvGCJ7,-0.71487117,1.1064041,-1.1677556,-0.039841183,1.604407
2ccfWsFhG3VNwmMNuvJJPJ,0.36796632,-1.400245,0.75445324,-0.37045777,-0.22157234
3WiNoJg2W3YBRqKf1YWrgL,-0.41996598,-0.09981223,0.50916946,-1.245912,-0.97991854
4m2DP2oKzcBZiosg0ylcza,0.42663968,0.049955796,-0.22192268,-1.219134,0.865032
4Up2AJmO8k5TeQHutZ4Wjn,-1.1414063,-0.2370266,-1.0923508,-0.48628777,1.7660253
